출발ID,출발지명,도착ID,도착지명,도보시간(분),거리(m)
P002,금리단길(출발지),P039,스컹크웍스,14,1054
P002,금리단길(출발지),P040,굿즈,16,1221
P002,금리단길(출발지),P041,샬로우커피 황리단길점,12,908
P002,금리단길(출발지),P042,데어벤치,17,1248
P002,금리단길(출발지),P043,스위피,17,1285
P002,금리단길(출발지),P044,아르떼,17,1261
P002,금리단길(출발지),P045,키도트,9,666
P002,금리단길(출발지),P046,후프후프,10,688
P002,금리단길(출발지),P047,올리브,12,851
P002,금리단길(출발지),P048,양지다방,12,855
P002,금리단길(출발지),P049,미실카페,11,777
P002,금리단길(출발지),P050,햇오프커피,13,936
P002,금리단길(출발지),P051,비화커피,14,1048
P002,금리단길(출발지),P052,오버랩,14,967
P002,금리단길(출발지),P053,주돈,5,403
P002,금리단길(출발지),P054,서울뒷고기막창,12,883
P002,금리단길(출발지),P055,옐라,3,199
P002,금리단길(출발지),P056,대호당,2,195
P002,금리단길(출발지),P057,사계돈,3,233
P002,금리단길(출발지),P058,황오바오,3,224
P002,금리단길(출발지),P059,시간의 여백,6,443
P002,금리단길(출발지),P060,리커피하우스,4,324
P002,금리단길(출발지),P061,로라커피,7,525
P002,금리단길(출발지),P062,소담루,11,796
P002,금리단길(출발지),P063,위주,10,735
P002,금리단길(출발지),P064,크루그,8,575
P002,금리단길(출발지),P065,나봉상점 경주점,4,287
P002,금리단길(출발지),P066,연화,9,658
P002,금리단길(출발지),P067,yesterday,18,1100
P002,금리단길(출발지),P068,진수성찬,21,1650
P002,금리단길(출발지),P069,베이글베이글러,18,1429
P002,금리단길(출발지),P070,경주 핑크뮬리(경주 핑크뮬리 군락지),15,1145
P002,금리단길(출발지),P071,경주 교촌마을,21,1635
P002,금리단길(출발지),P072,경주 황리단길,11,814
P002,금리단길(출발지),P073,경주 계림,19,1448
P002,금리단길(출발지),P074,월정교,25,1952
P002,금리단길(출발지),P075,경주읍성,8,572
P002,금리단길(출발지),P076,경주 첨성대,15,1185
P003,첨성대(출발지),P005,987피자,11,822
P003,첨성대(출발지),P006,료미,13,1005
P003,첨성대(출발지),P007,백년손님,9,702
P003,첨성대(출발지),P008,백조식당,12,939
P003,첨성대(출발지),P009,줄리스,13,968
P003,첨성대(출발지),P010,포롱아밀 황남점,12,927
P003,첨성대(출발지),P011,화양연화,8,606
P003,첨성대(출발지),P012,료코,10,767
P003,첨성대(출발지),P013,황남두꺼비식당 황남본점,11,809
P003,첨성대(출발지),P014,피자옥,12,862
P003,첨성대(출발지),P015,범외양간 황리단길본점,14,1074
P003,첨성대(출발지),P016,경주황소곱창 황리단길본점,13,980
P003,첨성대(출발지),P017,메종드문,11,787
P003,첨성대(출발지),P018,풍미갈비찜,11,847
P003,첨성대(출발지),P019,황남갈비,8,634
P003,첨성대(출발지),P020,타베르나,11,818
P003,첨성대(출발지),P021,소나무 황리단길본점,12,913
P003,첨성대(출발지),P022,오칼국수,11,832
P003,첨성대(출발지),P023,황남거북이,11,798
P003,첨성대(출발지),P024,그때그소간지,9,652
P003,첨성대(출발지),P025,짚불함박,18,1469
P003,첨성대(출발지),P026,향밀,12,923
P003,첨성대(출발지),P027,체크인치즈 황리단길점,11,847
P003,첨성대(출발지),P028,황남역,17,1347
P003,첨성대(출발지),P029,황남양옥,12,879
P003,첨성대(출발지),P030,대릉소반,6,439
P003,첨성대(출발지),P031,미포기사식당,15,1112
P003,첨성대(출발지),P032,황리화덕가,15,1149
P003,첨성대(출발지),P033,향택 경주,14,1083
P003,첨성대(출발지),P034,무궁무진,14,1046
P003,첨성대(출발지),P035,노키,16,1195
P003,첨성대(출발지),P036,마카다,13,1030
P003,첨성대(출발지),P037,황리단 치킨,15,1104
P003,첨성대(출발지),P038,담요 따뜻한 손길,15,1140
P003,첨성대(출발지),P039,스컹크웍스,13,974
P003,첨성대(출발지),P040,굿즈,11,798
P003,첨성대(출발지),P041,샬로우커피 황리단길점,14,1014
P003,첨성대(출발지),P042,데어벤치,10,725
P003,첨성대(출발지),P043,스위피,10,721
P003,첨성대(출발지),P044,아르떼,10,748
P003,첨성대(출발지),P045,키도트,17,1362
P003,첨성대(출발지),P046,후프후프,18,1399
P003,첨성대(출발지),P047,올리브,15,1114
P003,첨성대(출발지),P048,양지다방,14,1073
P003,첨성대(출발지),P049,미실카페,18,1474
P003,첨성대(출발지),P050,햇오프커피,15,1152
P003,첨성대(출발지),P051,비화커피,16,1190
P003,첨성대(출발지),P052,오버랩,23,1714
P003,첨성대(출발지),P053,주돈,20,1547
P003,첨성대(출발지),P054,서울뒷고기막창,23,1784
P003,첨성대(출발지),P055,옐라,16,1215
P003,첨성대(출발지),P056,대호당,17,1297
P003,첨성대(출발지),P057,사계돈,16,1231
P003,첨성대(출발지),P058,황오바오,15,1178
P003,첨성대(출발지),P059,시간의 여백,21,1628
P003,첨성대(출발지),P060,리커피하우스,18,1419
P003,첨성대(출발지),P061,로라커피,22,1710
P003,첨성대(출발지),P062,소담루,26,1981
P003,첨성대(출발지),P063,위주,25,1920
P003,첨성대(출발지),P064,크루그,23,1760
P003,첨성대(출발지),P065,나봉상점 경주점,16,1148
P003,첨성대(출발지),P066,연화,17,1284
P003,첨성대(출발지),P067,yesterday,23,1400
P003,첨성대(출발지),P068,진수성찬,13,992
P003,첨성대(출발지),P069,베이글베이글러,10,772
P003,첨성대(출발지),P070,경주 핑크뮬리(경주 핑크뮬리 군락지),4,323
P003,첨성대(출발지),P071,경주 교촌마을,11,807
P003,첨성대(출발지),P072,경주 황리단길,14,1079
P003,첨성대(출발지),P073,경주 계림,4,285
P003,첨성대(출발지),P074,월정교,16,1173
P003,첨성대(출발지),P075,경주읍성,23,1757
P003,첨성대(출발지),P076,경주 첨성대,0,0
P004,교촌마을(출발지),P005,987피자,12,927
P004,교촌마을(출발지),P006,료미,12,951
