출발ID,출발지명,도착ID,도착지명,도보시간(분),거리(m)
P015,범외양간 황리단길본점,P051,비화커피,3,211
P015,범외양간 황리단길본점,P052,오버랩,9,592
P015,범외양간 황리단길본점,P053,주돈,9,655
P015,범외양간 황리단길본점,P054,서울뒷고기막창,9,662
P015,범외양간 황리단길본점,P055,옐라,12,906
P015,범외양간 황리단길본점,P056,대호당,13,987
P015,범외양간 황리단길본점,P057,사계돈,12,921
P015,범외양간 황리단길본점,P058,황오바오,12,869
P015,범외양간 황리단길본점,P059,시간의 여백,10,764
P015,범외양간 황리단길본점,P060,리커피하우스,8,622
P015,범외양간 황리단길본점,P061,로라커피,19,1364
P015,범외양간 황리단길본점,P062,소담루,15,1130
P015,범외양간 황리단길본점,P063,위주,15,1069
P015,범외양간 황리단길본점,P064,크루그,13,909
P015,범외양간 황리단길본점,P065,나봉상점 경주점,13,975
P015,범외양간 황리단길본점,P066,연화,19,1353
P015,범외양간 황리단길본점,P067,yesterday,27,2005
P015,범외양간 황리단길본점,P068,진수성찬,15,1148
P015,범외양간 황리단길본점,P069,베이글베이글러,11,854
P015,범외양간 황리단길본점,P070,경주 핑크뮬리(경주 핑크뮬리 군락지),16,1249
P015,범외양간 황리단길본점,P071,경주 교촌마을,15,1134
P015,범외양간 황리단길본점,P072,경주 황리단길,1,60
P015,범외양간 황리단길본점,P073,경주 계림,18,1337
P015,범외양간 황리단길본점,P074,월정교,19,1451
P015,범외양간 황리단길본점,P075,경주읍성,19,1411
P015,범외양간 황리단길본점,P076,경주 첨성대,14,1074
P016,경주황소곱창 황리단길본점,P017,메종드문,4,292
P016,경주황소곱창 황리단길본점,P018,풍미갈비찜,4,289
P016,경주황소곱창 황리단길본점,P019,황남갈비,6,492
P016,경주황소곱창 황리단길본점,P020,타베르나,4,309
P016,경주황소곱창 황리단길본점,P021,소나무 황리단길본점,4,340
P016,경주황소곱창 황리단길본점,P022,오칼국수,5,387
P016,경주황소곱창 황리단길본점,P023,황남거북이,2,154
P016,경주황소곱창 황리단길본점,P024,그때그소간지,5,381
P016,경주황소곱창 황리단길본점,P025,짚불함박,4,311
P016,경주황소곱창 황리단길본점,P026,향밀,5,363
P016,경주황소곱창 황리단길본점,P027,체크인치즈 황리단길점,4,289
P016,경주황소곱창 황리단길본점,P028,황남역,5,420
P016,경주황소곱창 황리단길본점,P029,황남양옥,2,137
P016,경주황소곱창 황리단길본점,P030,대릉소반,8,616
P016,경주황소곱창 황리단길본점,P031,미포기사식당,4,271
P016,경주황소곱창 황리단길본점,P032,황리화덕가,5,357
P016,경주황소곱창 황리단길본점,P033,향택 경주,3,242
P016,경주황소곱창 황리단길본점,P034,무궁무진,3,240
P016,경주황소곱창 황리단길본점,P035,노키,4,306
P016,경주황소곱창 황리단길본점,P036,마카다,6,469
P016,경주황소곱창 황리단길본점,P037,황리단 치킨,4,263
P016,경주황소곱창 황리단길본점,P038,담요 따뜻한 손길,7,534
P016,경주황소곱창 황리단길본점,P039,스컹크웍스,4,269
P016,경주황소곱창 황리단길본점,P040,굿즈,4,342
P016,경주황소곱창 황리단길본점,P041,샬로우커피 황리단길점,2,174
P016,경주황소곱창 황리단길본점,P042,데어벤치,5,369
P016,경주황소곱창 황리단길본점,P043,스위피,5,406
P016,경주황소곱창 황리단길본점,P044,아르떼,5,382
P016,경주황소곱창 황리단길본점,P045,키도트,5,422
P016,경주황소곱창 황리단길본점,P046,후프후프,6,481
P016,경주황소곱창 황리단길본점,P047,올리브,4,274
P016,경주황소곱창 황리단길본점,P048,양지다방,3,233
P016,경주황소곱창 황리단길본점,P049,미실카페,4,337
P016,경주황소곱창 황리단길본점,P050,햇오프커피,4,311
P016,경주황소곱창 황리단길본점,P051,비화커피,3,264
P016,경주황소곱창 황리단길본점,P052,오버랩,12,776
P016,경주황소곱창 황리단길본점,P053,주돈,11,834
P016,경주황소곱창 황리단길본점,P054,서울뒷고기막창,13,860
P016,경주황소곱창 황리단길본점,P055,옐라,14,1085
P016,경주황소곱창 황리단길본점,P056,대호당,16,1166
P016,경주황소곱창 황리단길본점,P057,사계돈,15,1100
P016,경주황소곱창 황리단길본점,P058,황오바오,14,1048
P016,경주황소곱창 황리단길본점,P059,시간의 여백,13,944
P016,경주황소곱창 황리단길본점,P060,리커피하우스,11,801
P016,경주황소곱창 황리단길본점,P061,로라커피,21,1543
P016,경주황소곱창 황리단길본점,P062,소담루,18,1309
P016,경주황소곱창 황리단길본점,P063,위주,17,1248
P016,경주황소곱창 황리단길본점,P064,크루그,15,1088
P016,경주황소곱창 황리단길본점,P065,나봉상점 경주점,15,1154
P016,경주황소곱창 황리단길본점,P066,연화,21,1532
P016,경주황소곱창 황리단길본점,P067,yesterday,30,2184
P016,경주황소곱창 황리단길본점,P068,진수성찬,14,1054
P016,경주황소곱창 황리단길본점,P069,베이글베이글러,10,760
P016,경주황소곱창 황리단길본점,P070,경주 핑크뮬리(경주 핑크뮬리 군락지),15,1154
P016,경주황소곱창 황리단길본점,P071,경주 교촌마을,13,1039
P016,경주황소곱창 황리단길본점,P072,경주 황리단길,3,185
P016,경주황소곱창 황리단길본점,P073,경주 계림,17,1243
P016,경주황소곱창 황리단길본점,P074,월정교,17,1357
P016,경주황소곱창 황리단길본점,P075,경주읍성,22,1590
P016,경주황소곱창 황리단길본점,P076,경주 첨성대,13,980
P017,메종드문,P018,풍미갈비찜,3,257
P017,메종드문,P019,황남갈비,4,299
P017,메종드문,P020,타베르나,4,278
P017,메종드문,P021,소나무 황리단길본점,6,436
P017,메종드문,P022,오칼국수,5,355
P017,메종드문,P023,황남거북이,3,186
P017,메종드문,P024,그때그소간지,2,188
P017,메종드문,P025,짚불함박,6,464
P017,메종드문,P026,향밀,6,446
P017,메종드문,P027,체크인치즈 황리단길점,3,257
P017,메종드문,P028,황남역,7,572
P017,메종드문,P029,황남양옥,4,267
P017,메종드문,P030,대릉소반,6,423
P017,메종드문,P031,미포기사식당,5,424
P017,메종드문,P032,황리화덕가,7,510
P017,메종드문,P033,향택 경주,5,395
P017,메종드문,P034,무궁무진,5,381
P017,메종드문,P035,노키,6,459
P017,메종드문,P036,마카다,8,622
P017,메종드문,P037,황리단 치킨,5,416
P017,메종드문,P038,담요 따뜻한 손길,9,687
P017,메종드문,P039,스컹크웍스,4,309
P017,메종드문,P040,굿즈,3,239
P017,메종드문,P041,샬로우커피 황리단길점,4,326
P017,메종드문,P042,데어벤치,2,176
P017,메종드문,P043,스위피,4,344
P017,메종드문,P044,아르떼,2,189
P017,메종드문,P045,키도트,7,575
P017,메종드문,P046,후프후프,8,634
P017,메종드문,P047,올리브,6,427
P017,메종드문,P048,양지다방,5,385
P017,메종드문,P049,미실카페,6,490
P017,메종드문,P050,햇오프커피,6,464
P017,메종드문,P051,비화커피,5,416
P017,메종드문,P052,오버랩,14,929
P017,메종드문,P053,주돈,13,987
P017,메종드문,P054,서울뒷고기막창,15,1013
P017,메종드문,P055,옐라,16,1237
P017,메종드문,P056,대호당,18,1319
P017,메종드문,P057,사계돈,17,1253
P017,메종드문,P058,황오바오,16,1200
P017,메종드문,P059,시간의 여백,15,1096
P017,메종드문,P060,리커피하우스,13,954
P017,메종드문,P061,로라커피,23,1696
P017,메종드문,P062,소담루,20,1462
P017,메종드문,P063,위주,19,1401
P017,메종드문,P064,크루그,17,1241
P017,메종드문,P065,나봉상점 경주점,17,1307
P017,메종드문,P066,연화,23,1685
P017,메종드문,P067,yesterday,29,2236
P017,메종드문,P068,진수성찬,11,861
P017,메종드문,P069,베이글베이글러,7,567
P017,메종드문,P070,경주 핑크뮬리(경주 핑크뮬리 군락지),12,962
P017,메종드문,P071,경주 교촌마을,11,847
P017,메종드문,P072,경주 황리단길,5,392
P017,메종드문,P073,경주 계림,14,1050
P017,메종드문,P074,월정교,15,1164
P017,메종드문,P075,경주읍성,23,1743
P017,메종드문,P076,경주 첨성대,11,787
P018,풍미갈비찜,P019,황남갈비,3,246
P018,풍미갈비찜,P020,타베르나,2,117
P018,풍미갈비찜,P021,소나무 황리단길본점,4,275
P018,풍미갈비찜,P022,오칼국수,2,194
P018,풍미갈비찜,P023,황남거북이,4,282
P018,풍미갈비찜,P024,그때그소간지,2,178
P018,풍미갈비찜,P025,짚불함박,6,461
P018,풍미갈비찜,P026,향밀,4,285
P018,풍미갈비찜,P027,체크인치즈 황리단길점,0,0
P018,풍미갈비찜,P028,황남역,7,570
P018,풍미갈비찜,P029,황남양옥,4,292
P018,풍미갈비찜,P030,대릉소반,6,488
P018,풍미갈비찜,P031,미포기사식당,5,421
P018,풍미갈비찜,P032,황리화덕가,4,320
P018,풍미갈비찜,P033,향택 경주,5,392
P018,풍미갈비찜,P034,무궁무진,3,220
P018,풍미갈비찜,P035,노키,5,366
P018,풍미갈비찜,P036,마카다,6,450
P018,풍미갈비찜,P037,황리단 치킨,5,413
P018,풍미갈비찜,P038,담요 따뜻한 손길,7,514
P018,풍미갈비찜,P039,스컹크웍스,2,148
P018,풍미갈비찜,P040,굿즈,1,50
P018,풍미갈비찜,P041,샬로우커피 황리단길점,4,324
P018,풍미갈비찜,P042,데어벤치,2,122
P018,풍미갈비찜,P043,스위피,3,214
P018,풍미갈비찜,P044,아르떼,1,99
P018,풍미갈비찜,P045,키도트,7,572
P018,풍미갈비찜,P046,후프후프,8,631
P018,풍미갈비찜,P047,올리브,5,424
P018,풍미갈비찜,P048,양지다방,5,383
P018,풍미갈비찜,P049,미실카페,6,487
P018,풍미갈비찜,P050,햇오프커피,6,461
P018,풍미갈비찜,P051,비화커피,5,361
P018,풍미갈비찜,P052,오버랩,13,926
P018,풍미갈비찜,P053,주돈,13,984
P018,풍미갈비찜,P054,서울뒷고기막창,15,1010
P018,풍미갈비찜,P055,옐라,16,1235
P018,풍미갈비찜,P056,대호당,17,1316
P018,풍미갈비찜,P057,사계돈,16,1250
P018,풍미갈비찜,P058,황오바오,16,1198
P018,풍미갈비찜,P059,시간의 여백,14,1094
P018,풍미갈비찜,P060,리커피하우스,13,951
P018,풍미갈비찜,P061,로라커피,23,1693
P018,풍미갈비찜,P062,소담루,20,1459
P018,풍미갈비찜,P063,위주,19,1398
P018,풍미갈비찜,P064,크루그,17,1238
P018,풍미갈비찜,P065,나봉상점 경주점,17,1304
P018,풍미갈비찜,P066,연화,23,1682
P018,풍미갈비찜,P067,yesterday,29,2183
P018,풍미갈비찜,P068,진수성찬,10,808
P018,풍미갈비찜,P069,베이글베이글러,7,514
P018,풍미갈비찜,P070,경주 핑크뮬리(경주 핑크뮬리 군락지),12,908
P018,풍미갈비찜,P071,경주 교촌마을,10,793
P018,풍미갈비찜,P072,경주 황리단길,5,389
P018,풍미갈비찜,P073,경주 계림,15,1111
P018,풍미갈비찜,P074,월정교,14,1110
P018,풍미갈비찜,P075,경주읍성,23,1740
P018,풍미갈비찜,P076,경주 첨성대,11,847
P019,황남갈비,P020,타베르나,3,216
P019,황남갈비,P021,소나무 황리단길본점,4,311
P019,황남갈비,P022,오칼국수,3,230
P019,황남갈비,P023,황남거북이,5,355
P019,황남갈비,P024,그때그소간지,2,189
P019,황남갈비,P025,짚불함박,9,664
P019,황남갈비,P026,향밀,4,321
P019,황남갈비,P027,체크인치즈 황리단길점,3,246
P019,황남갈비,P028,황남역,10,772
P019,황남갈비,P029,황남양옥,6,436
P019,황남갈비,P030,대릉소반,4,275
P019,황남갈비,P031,미포기사식당,8,624
P019,황남갈비,P032,황리화덕가,7,547
P019,황남갈비,P033,향택 경주,8,595
P019,황남갈비,P034,무궁무진,6,444
P019,황남갈비,P035,노키,8,593
P019,황남갈비,P036,마카다,6,501
P019,황남갈비,P037,황리단 치킨,8,616
P019,황남갈비,P038,담요 따뜻한 손길,7,566
P019,황남갈비,P039,스컹크웍스,5,372
P019,황남갈비,P040,굿즈,3,196
P019,황남갈비,P041,샬로우커피 황리단길점,7,526
P019,황남갈비,P042,데어벤치,2,123
P019,황남갈비,P043,스위피,2,120
P019,황남갈비,P044,아르떼,2,146
P019,황남갈비,P045,키도트,10,775
P019,황남갈비,P046,후프후프,11,834
P019,황남갈비,P047,올리브,8,627
P019,황남갈비,P048,양지다방,8,585
P019,황남갈비,P049,미실카페,9,690
P019,황남갈비,P050,햇오프커피,9,664
P019,황남갈비,P051,비화커피,8,588
P019,황남갈비,P052,오버랩,16,1129
P019,황남갈비,P053,주돈,16,1187
P019,황남갈비,P054,서울뒷고기막창,17,1213
P019,황남갈비,P055,옐라,17,1322
P019,황남갈비,P056,대호당,18,1404
P019,황남갈비,P057,사계돈,17,1337
P019,황남갈비,P058,황오바오,16,1285
P019,황남갈비,P059,시간의 여백,17,1296
P019,황남갈비,P060,리커피하우스,15,1154
P019,황남갈비,P061,로라커피,24,1816
P019,황남갈비,P062,소담루,22,1662
P019,황남갈비,P063,위주,21,1601
P019,황남갈비,P064,크루그,19,1441
P019,황남갈비,P065,나봉상점 경주점,18,1391
P019,황남갈비,P066,연화,21,1580
P019,황남갈비,P067,yesterday,26,1969
P019,황남갈비,P068,진수성찬,8,636
P019,황남갈비,P069,베이글베이글러,4,342
P019,황남갈비,P070,경주 핑크뮬리(경주 핑크뮬리 군락지),9,695
P019,황남갈비,P071,경주 교촌마을,8,622
P019,황남갈비,P072,경주 황리단길,8,592
P019,황남갈비,P073,경주 계림,12,897
P019,황남갈비,P074,월정교,12,939
P019,황남갈비,P075,경주읍성,24,1863
P019,황남갈비,P076,경주 첨성대,8,634
P020,타베르나,P021,소나무 황리단길본점,2,158
P020,타베르나,P022,오칼국수,1,77
P020,타베르나,P023,황남거북이,4,302
P020,타베르나,P024,그때그소간지,3,234
P020,타베르나,P025,짚불함박,6,481
P020,타베르나,P026,향밀,2,168
P020,타베르나,P027,체크인치즈 황리단길점,2,117
P020,타베르나,P028,황남역,8,590
P020,타베르나,P029,황남양옥,4,312
P020,타베르나,P030,대릉소반,6,459
P020,타베르나,P031,미포기사식당,6,441
P020,타베르나,P032,황리화덕가,4,327
P020,타베르나,P033,향택 경주,5,413
P020,타베르나,P034,무궁무진,3,228
P020,타베르나,P035,노키,5,374
P020,타베르나,P036,마카다,4,348
P020,타베르나,P037,황리단 치킨,6,434
P020,타베르나,P038,담요 따뜻한 손길,5,413
P020,타베르나,P039,스컹크웍스,2,156
P020,타베르나,P040,굿즈,1,105
P020,타베르나,P041,샬로우커피 황리단길점,4,344
P020,타베르나,P042,데어벤치,2,170
P020,타베르나,P043,스위피,1,97
P020,타베르나,P044,아르떼,2,155
P020,타베르나,P045,키도트,8,592
P020,타베르나,P046,후프후프,8,651
P020,타베르나,P047,올리브,6,444
P020,타베르나,P048,양지다방,5,403
P020,타베르나,P049,미실카페,7,508
P020,타베르나,P050,햇오프커피,6,481
P020,타베르나,P051,비화커피,5,369
P020,타베르나,P052,오버랩,14,946
P020,타베르나,P053,주돈,13,1005
P020,타베르나,P054,서울뒷고기막창,15,1030
P020,타베르나,P055,옐라,17,1255
P020,타베르나,P056,대호당,18,1337
P020,타베르나,P057,사계돈,17,1270
P020,타베르나,P058,황오바오,16,1218
P020,타베르나,P059,시간의 여백,15,1114
P020,타베르나,P060,리커피하우스,13,971
P020,타베르나,P061,로라커피,23,1713
P020,타베르나,P062,소담루,20,1480
P020,타베르나,P063,위주,19,1419
P020,타베르나,P064,크루그,17,1259
P020,타베르나,P065,나봉상점 경주점,17,1325
P020,타베르나,P066,연화,24,1702
P020,타베르나,P067,yesterday,28,2154
P020,타베르나,P068,진수성찬,10,778
P020,타베르나,P069,베이글베이글러,6,484
P020,타베르나,P070,경주 핑크뮬리(경주 핑크뮬리 군락지),11,879
P020,타베르나,P071,경주 교촌마을,10,764
P020,타베르나,P072,경주 황리단길,5,409
P020,타베르나,P073,경주 계림,14,1082
P020,타베르나,P074,월정교,14,1081
P020,타베르나,P075,경주읍성,24,1760
P020,타베르나,P076,경주 첨성대,11,818
P021,소나무 황리단길본점,P022,오칼국수,2,172
P021,소나무 황리단길본점,P023,황남거북이,6,460
P021,소나무 황리단길본점,P024,그때그소간지,5,392
P021,소나무 황리단길본점,P025,짚불함박,5,421
P021,소나무 황리단길본점,P026,향밀,0,23
P021,소나무 황리단길본점,P027,체크인치즈 황리단길점,4,275
P021,소나무 황리단길본점,P028,황남역,7,527
P021,소나무 황리단길본점,P029,황남양옥,6,437
P021,소나무 황리단길본점,P030,대릉소반,7,554
P021,소나무 황리단길본점,P031,미포기사식당,5,378
P021,소나무 황리단길본점,P032,황리화덕가,3,236
P021,소나무 황리단길본점,P033,향택 경주,4,349
P021,소나무 황리단길본점,P034,무궁무진,2,144
P021,소나무 황리단길본점,P035,노키,4,282
P021,소나무 황리단길본점,P036,마카다,2,190
P021,소나무 황리단길본점,P037,황리단 치킨,5,370
P021,소나무 황리단길본점,P038,담요 따뜻한 손길,3,255
P021,소나무 황리단길본점,P039,스컹크웍스,2,134
P021,소나무 황리단길본점,P040,굿즈,3,263
P021,소나무 황리단길본점,P041,샬로우커피 황리단길점,4,281
P021,소나무 황리단길본점,P042,데어벤치,4,327
P021,소나무 황리단길본점,P043,스위피,2,191
P021,소나무 황리단길본점,P044,아르떼,4,313
P021,소나무 황리단길본점,P045,키도트,7,542
P021,소나무 황리단길본점,P046,후프후프,8,588
P021,소나무 황리단길본점,P047,올리브,5,381
P021,소나무 황리단길본점,P048,양지다방,4,340
P021,소나무 황리단길본점,P049,미실카페,6,444
P021,소나무 황리단길본점,P050,햇오프커피,5,418
P021,소나무 황리단길본점,P051,비화커피,4,278
P021,소나무 황리단길본점,P052,오버랩,13,879
P021,소나무 황리단길본점,P053,주돈,12,941
P021,소나무 황리단길본점,P054,서울뒷고기막창,14,963
P021,소나무 황리단길본점,P055,옐라,16,1192
P021,소나무 황리단길본점,P056,대호당,17,1274
P021,소나무 황리단길본점,P057,사계돈,16,1207
P021,소나무 황리단길본점,P058,황오바오,15,1155
P021,소나무 황리단길본점,P059,시간의 여백,14,1051
P021,소나무 황리단길본점,P060,리커피하우스,12,908
P021,소나무 황리단길본점,P061,로라커피,22,1650
P021,소나무 황리단길본점,P062,소담루,19,1416
P021,소나무 황리단길본점,P063,위주,18,1355
P021,소나무 황리단길본점,P064,크루그,16,1196
P021,소나무 황리단길본점,P065,나봉상점 경주점,17,1261
P021,소나무 황리단길본점,P066,연화,23,1639
P021,소나무 황리단길본점,P067,yesterday,29,2248
P021,소나무 황리단길본점,P068,진수성찬,11,873
P021,소나무 황리단길본점,P069,베이글베이글러,7,579
P021,소나무 황리단길본점,P070,경주 핑크뮬리(경주 핑크뮬리 군락지),12,974
P021,소나무 황리단길본점,P071,경주 교촌마을,11,858
P021,소나무 황리단길본점,P072,경주 황리단길,4,346
P021,소나무 황리단길본점,P073,경주 계림,16,1176
P021,소나무 황리단길본점,P074,월정교,15,1176
P021,소나무 황리단길본점,P075,경주읍성,23,1697
P021,소나무 황리단길본점,P076,경주 첨성대,12,913
P022,오칼국수,P023,황남거북이,5,380
P022,오칼국수,P024,그때그소간지,4,312
P022,오칼국수,P025,짚불함박,7,559
P022,오칼국수,P026,향밀,2,182
P022,오칼국수,P027,체크인치즈 황리단길점,2,194
P022,오칼국수,P028,황남역,9,667
P022,오칼국수,P029,황남양옥,5,390
P022,오칼국수,P030,대릉소반,6,473
P022,오칼국수,P031,미포기사식당,7,519
P022,오칼국수,P032,황리화덕가,5,408
P022,오칼국수,P033,향택 경주,6,490
P022,오칼국수,P034,무궁무진,4,305
P022,오칼국수,P035,노키,6,454
P022,오칼국수,P036,마카다,4,300
P022,오칼국수,P037,황리단 치킨,7,511
P022,오칼국수,P038,담요 따뜻한 손길,5,410
P022,오칼국수,P039,스컹크웍스,3,233
P022,오칼국수,P040,굿즈,2,183
P022,오칼국수,P041,샬로우커피 황리단길점,5,421
P022,오칼국수,P042,데어벤치,3,247
P022,오칼국수,P043,스위피,1,111
P022,오칼국수,P044,아르떼,3,232
P022,오칼국수,P045,키도트,9,670
P022,오칼국수,P046,후프후프,9,728
P022,오칼국수,P047,올리브,7,522
P022,오칼국수,P048,양지다방,6,480
P022,오칼국수,P049,미실카페,8,585
P022,오칼국수,P050,햇오프커피,7,559
P022,오칼국수,P051,비화커피,6,450
P022,오칼국수,P052,오버랩,15,1051
P022,오칼국수,P053,주돈,14,1082
P022,오칼국수,P054,서울뒷고기막창,16,1135
P022,오칼국수,P055,옐라,18,1332
P022,오칼국수,P056,대호당,19,1414
P022,오칼국수,P057,사계돈,18,1348
P022,오칼국수,P058,황오바오,17,1296
P022,오칼국수,P059,시간의 여백,16,1191
P022,오칼국수,P060,리커피하우스,14,1049
P022,오칼국수,P061,로라커피,24,1791
P022,오칼국수,P062,소담루,21,1557
P022,오칼국수,P063,위주,20,1496
P022,오칼국수,P064,크루그,18,1336
P022,오칼국수,P065,나봉상점 경주점,18,1402
P022,오칼국수,P066,연화,25,1780
P022,오칼국수,P067,yesterday,28,2168
P022,오칼국수,P068,진수성찬,10,745
P022,오칼국수,P069,베이글베이글러,6,451
P022,오칼국수,P070,경주 핑크뮬리(경주 핑크뮬리 군락지),11,893
P022,오칼국수,P071,경주 교촌마을,9,731
P022,오칼국수,P072,경주 황리단길,6,486
P022,오칼국수,P073,경주 계림,15,1096
P022,오칼국수,P074,월정교,13,1048
P022,오칼국수,P075,경주읍성,25,1838
P022,오칼국수,P076,경주 첨성대,11,832
P023,황남거북이,P024,그때그소간지,3,244
P023,황남거북이,P025,짚불함박,4,320
P023,황남거북이,P026,향밀,6,470
P023,황남거북이,P027,체크인치즈 황리단길점,4,282
P023,황남거북이,P028,황남역,4,314
P023,황남거북이,P029,황남양옥,1,81
P023,황남거북이,P030,대릉소반,6,434
P023,황남거북이,P031,미포기사식당,4,290
P023,황남거북이,P032,황리화덕가,6,469
P023,황남거북이,P033,향택 경주,4,301
P023,황남거북이,P034,무궁무진,5,352
P023,황남거북이,P035,노키,6,419
P023,황남거북이,P036,마카다,8,582
P023,황남거북이,P037,황리단 치킨,5,376
P023,황남거북이,P038,담요 따뜻한 손길,8,646
P023,황남거북이,P039,스컹크웍스,4,334
P023,황남거북이,P040,굿즈,4,295
P023,황남거북이,P041,샬로우커피 황리단길점,4,286
P023,황남거북이,P042,데어벤치,3,232
P023,황남거북이,P043,스위피,5,400
P023,황남거북이,P044,아르떼,3,245
P023,황남거북이,P045,키도트,4,330
P023,황남거북이,P046,후프후프,6,449
P023,황남거북이,P047,올리브,4,293
P023,황남거북이,P048,양지다방,4,286
P023,황남거북이,P049,미실카페,5,369
P023,황남거북이,P050,햇오프커피,5,378
P023,황남거북이,P051,비화커피,5,376
P023,황남거북이,P052,오버랩,12,784
P023,황남거북이,P053,주돈,10,728
P023,황남거북이,P054,서울뒷고기막창,12,845
P023,황남거북이,P055,옐라,13,979
P023,황남거북이,P056,대호당,14,1061
P023,황남거북이,P057,사계돈,13,994
P023,황남거북이,P058,황오바오,13,942
P023,황남거북이,P059,시간의 여백,11,838
P023,황남거북이,P060,리커피하우스,10,695
P023,황남거북이,P061,로라커피,20,1437
P023,황남거북이,P062,소담루,17,1203
P023,황남거북이,P063,위주,16,1142
P023,황남거북이,P064,크루그,14,983
P023,황남거북이,P065,나봉상점 경주점,14,1048
P023,황남거북이,P066,연화,20,1426
P023,황남거북이,P067,yesterday,28,2078
P023,황남거북이,P068,진수성찬,12,917
P023,황남거북이,P069,베이글베이글러,8,623
P023,황남거북이,P070,경주 핑크뮬리(경주 핑크뮬리 군락지),11,859
P023,황남거북이,P071,경주 교촌마을,12,903
P023,황남거북이,P072,경주 황리단길,3,210
P023,황남거북이,P073,경주 계림,15,1062
P023,황남거북이,P074,월정교,16,1220
P023,황남거북이,P075,경주읍성,20,1484
P023,황남거북이,P076,경주 첨성대,11,798
P024,그때그소간지,P025,짚불함박,7,553
P024,그때그소간지,P026,향밀,5,402
P024,그때그소간지,P027,체크인치즈 황리단길점,2,178
P024,그때그소간지,P028,황남역,9,661
P024,그때그소간지,P029,황남양옥,4,325
P024,그때그소간지,P030,대릉소반,3,249
P024,그때그소간지,P031,미포기사식당,7,513
P024,그때그소간지,P032,황리화덕가,6,488
P024,그때그소간지,P033,향택 경주,6,484
P024,그때그소간지,P034,무궁무진,5,389
P024,그때그소간지,P035,노키,7,548
P024,그때그소간지,P036,마카다,8,582
P024,그때그소간지,P037,황리단 치킨,7,505
P024,그때그소간지,P038,담요 따뜻한 손길,8,647
P024,그때그소간지,P039,스컹크웍스,4,317
P024,그때그소간지,P040,굿즈,2,129
P024,그때그소간지,P041,샬로우커피 황리단길점,5,415
P024,그때그소간지,P042,데어벤치,1,66
P024,그때그소간지,P043,스위피,3,234
P024,그때그소간지,P044,아르떼,1,79
P024,그때그소간지,P045,키도트,9,664
P024,그때그소간지,P046,후프후프,9,722
P024,그때그소간지,P047,올리브,7,515
P024,그때그소간지,P048,양지다방,6,474
P024,그때그소간지,P049,미실카페,7,579
P024,그때그소간지,P050,햇오프커피,7,553
P024,그때그소간지,P051,비화커피,7,505
P024,그때그소간지,P052,오버랩,15,1018
P024,그때그소간지,P053,주돈,14,1076
P024,그때그소간지,P054,서울뒷고기막창,16,1101
P024,그때그소간지,P055,옐라,16,1177
P024,그때그소간지,P056,대호당,17,1259
P024,그때그소간지,P057,사계돈,16,1192
P024,그때그소간지,P058,황오바오,15,1140
P024,그때그소간지,P059,시간의 여백,16,1185
P024,그때그소간지,P060,리커피하우스,14,1042
P024,그때그소간지,P061,로라커피,22,1671
P024,그때그소간지,P062,소담루,21,1551
P024,그때그소간지,P063,위주,20,1490
P024,그때그소간지,P064,크루그,18,1330
P024,그때그소간지,P065,나봉상점 경주점,17,1247
P024,그때그소간지,P066,연화,21,1466
P024,그때그소간지,P067,yesterday,26,1987
P024,그때그소간지,P068,진수성찬,10,751
P024,그때그소간지,P069,베이글베이글러,6,457
P024,그때그소간지,P070,경주 핑크뮬리(경주 핑크뮬리 군락지),9,713
P024,그때그소간지,P071,경주 교촌마을,10,737
P024,그때그소간지,P072,경주 황리단길,6,480
P024,그때그소간지,P073,경주 계림,12,915
P024,그때그소간지,P074,월정교,14,1054
P024,그때그소간지,P075,경주읍성,23,1718
P024,그때그소간지,P076,경주 첨성대,9,652
P025,짚불함박,P026,향밀,6,444
P025,짚불함박,P027,체크인치즈 황리단길점,6,461
P025,짚불함박,P028,황남역,2,144
P025,짚불함박,P029,황남양옥,4,303
P025,짚불함박,P030,대릉소반,10,788
P025,짚불함박,P031,미포기사식당,1,40
P025,짚불함박,P032,황리화덕가,5,382
P025,짚불함박,P033,향택 경주,1,109
P025,짚불함박,P034,무궁무진,4,320
P025,짚불함박,P035,노키,4,331
P025,짚불함박,P036,마카다,7,550
P025,짚불함박,P037,황리단 치킨,2,166
P025,짚불함박,P038,담요 따뜻한 손길,8,614
P025,짚불함박,P039,스컹크웍스,5,349
P025,짚불함박,P040,굿즈,7,514
P025,짚불함박,P041,샬로우커피 황리단길점,3,204
P025,짚불함박,P042,데어벤치,7,541
P025,짚불함박,P043,스위피,7,578
P025,짚불함박,P044,아르떼,7,554
P025,짚불함박,P045,키도트,2,128
P025,짚불함박,P046,후프후프,2,187
P025,짚불함박,P047,올리브,1,82
P025,짚불함박,P048,양지다방,1,78
P025,짚불함박,P049,미실카페,1,43
P025,짚불함박,P050,햇오프커피,2,166
P025,짚불함박,P051,비화커피,4,288
P025,짚불함박,P052,오버랩,8,514
P025,짚불함박,P053,주돈,8,589
P025,짚불함박,P054,서울뒷고기막창,8,584
P025,짚불함박,P055,옐라,11,839
P025,짚불함박,P056,대호당,12,921
P025,짚불함박,P057,사계돈,11,854
P025,짚불함박,P058,황오바오,11,802
P025,짚불함박,P059,시간의 여백,9,698
P025,짚불함박,P060,리커피하우스,8,555
P025,짚불함박,P061,로라커피,18,1297
P025,짚불함박,P062,소담루,15,1064
